Id,Sale Price Predictions
1461,118828.39
1462,152355.85
1463,166195.92
1464,182573.4
1465,195666.94
1466,167558.02
1467,177738.26
1468,157051.03
1469,210077.05
1470,111278.28
1471,170730.77
1472,96159.54
1473,90897.4
1474,139302.85
1475,111243.59
1476,360483.09
1477,247095.21
1478,321561.03
1479,315530.67
1480,448262.21
1481,316043.47
1482,215560.11
1483,174192.52
1484,165343.94
1485,196977.81
1486,196132.43
1487,332262.66
1488,234183.37
1489,187811.29
1490,250279.08
1491,205255.91
1492,96853.42
1493,217749.64
1494,304900.19
1495,289995.0
1496,236147.83
1497,176066.56
1498,159414.36
1499,153546.95
1500,151543.79
1501,181459.94
1502,145905.43
1503,269533.45
1504,240403.57
1505,222314.47
1506,187380.23
1507,244456.36
1508,185517.67
1509,156609.54
1510,143736.35
1511,140866.3
1512,177889.86
1513,163070.76
1514,143938.25
1515,194417.52
1516,153414.91
1517,175355.83
1518,116701.76
1519,211940.39
1520,126967.82
1521,126125.51
1522,183434.53
1523,97828.19
1524,118813.66
1525,109934.26
1526,107946.64
1527,97158.68
1528,141246.73
1529,151865.32
1530,212061.83
1531,127959.2
1532,100321.55
1533,164270.09
1534,126502.64
1535,153607.22
1536,97028.19
1537,41259.99
1538,159502.89
1539,205002.69
1540,132803.88
1541,124057.46
1542,148196.06
1543,187929.95
1544,100093.12
1545,131395.85
1546,138183.79
1547,137683.67
1548,147195.19
1549,120553.15
1550,138499.79
1551,114054.89
1552,151810.66
1553,150041.39
1554,124217.77
1555,164553.3
1556,76320.49
1557,89941.04
1558,100366.36
1559,86252.25
1560,131913.34
1561,107832.83
1562,133495.61
1563,117255.9
1564,142331.11
1565,144797.7
1566,246077.73
1567,77769.68
1568,227292.24
1569,115604.46
1570,142383.98
1571,107939.52
1572,142780.41
1573,238772.41
1574,119390.41
1575,242692.34
1576,231623.02
1577,178612.18
1578,139312.27
1579,131418.83
1580,189154.26
1581,162740.76
1582,134583.82
1583,266191.29
1584,225296.0
1585,147573.2
1586,52616.78
1587,115127.13
1588,168954.78
1589,102982.3
1590,128581.23
1591,82534.67
1592,128298.24
1593,128463.31
1594,137664.09
1595,111357.52
1596,231603.17
1597,192657.93
1598,227632.11
1599,198921.52
1600,169561.09
1601,42304.95
1602,116381.71
1603,66112.6
1604,292944.59
1605,232750.8
1606,152181.12
1607,156340.65
1608,206414.73
1609,176991.26
1610,151280.93
1611,140854.08
1612,193998.58
1613,159790.44
1614,152282.09
1615,79240.35
1616,65137.11
1617,82896.16
1618,118177.0
1619,152575.57
1620,153657.93
1621,128045.56
1622,139881.25
1623,260535.11
1624,200875.14
1625,106808.41
1626,170335.65
1627,177866.33
1628,288908.49
1629,185626.91
1630,326934.89
1631,228450.24
1632,234904.44
1633,186570.01
1634,183187.24
1635,171141.19
1636,153147.39
1637,191921.28
1638,203142.75
1639,184775.99
1640,247814.74
1641,178498.37
1642,263916.54
1643,225861.35
1644,228994.26
1645,213503.43
1646,159511.85
1647,155832.63
1648,122678.58
1649,135130.04
1650,121382.78
1651,118371.67
1652,100578.2
1653,104610.83
1654,144809.18
1655,129580.31
1656,130272.45
1657,145564.55
1658,142517.87
1659,120950.07
1660,146428.42
1661,412998.34
1662,373749.13
1663,378091.52
1664,463069.67
1665,341125.5
1666,337867.98
1667,371547.87
1668,360751.94
1669,325840.13
1670,358538.28
1671,262598.59
1672,391364.9
1673,293181.21
1674,252021.47
1675,204692.07
1676,200410.97
1677,215784.33
1678,451777.54
1679,384429.51
1680,326544.53
1681,296837.3
1682,334063.12
1683,201657.91
1684,182191.34
1685,179015.55
1686,168804.82
1687,187944.55
1688,191458.05
1689,196872.34
1690,193222.96
1691,185445.21
1692,270752.01
1693,190989.02
1694,176076.64
1695,179722.61
1696,260050.96
1697,183681.86
1698,341951.55
1699,308380.47
1700,272422.63
1701,285930.63
1702,247147.67
1703,242024.76
1704,264656.36
1705,259658.54
1706,414237.68
1707,228977.02
1708,206356.45
1709,252412.77
1710,216624.66
1711,276979.67
1712,240819.46
1713,270681.33
1714,224213.65
1715,211436.08
1716,183938.12
1717,183742.99
1718,140147.55
1719,234437.74
1720,239274.2
1721,178506.31
1722,132582.62
1723,162430.81
1724,200002.28
1725,236722.49
1726,188439.2
1727,141239.94
1728,192333.8
1729,162682.84
1730,166063.64
1731,126875.01
1732,129307.46
1733,108429.99
1734,115648.79
1735,139810.85
1736,118777.55
1737,295456.88
1738,263917.63
1739,262174.74
1740,191913.72
1741,181109.07
1742,172364.32
1743,179936.19
1744,327506.32
1745,228922.26
1746,246802.37
1747,214037.65
1748,237953.35
1749,150414.82
1750,147789.81
1751,239135.61
1752,104866.73
1753,145973.37
1754,205259.42
